nom-chargeur,phone,localisation
MEKNES SECT A EL BASSATIN, 660-687578, https://maps.app.goo.gl/hdc4AY799p9Jexi97
MEKNES NOUR EL BASSATINE, 777159178, https://maps.app.goo.gl/JqpAELibJyUnM9Vm7
MEKNES DEPOT,621844886,https://maps.app.goo.gl/h1ztJG8ohStaLSw97
ALBASSATINE,535500530,https://maps.app.goo.gl/KFKWhVc6j1X1bhEc9
